Date;Joursem;Ferie;Vacances Scolaires;Jour;Mois;Trimestre;Annee;Prix;Reel;Normale;Delta
01/01/2011;6;1;1;1;1;1;2011;24,26;3,03;4,37;-1,34
02/01/2011;7;0;1;2;1;1;2011;24,26;2,82;4,37;-1,55
03/01/2011;1;0;0;3;1;1;2011;24,26;1,78;4,37;-2,59
04/01/2011;2;0;0;4;1;1;2011;24,73;0,96;4,38;-3,42
05/01/2011;3;0;0;5;1;1;2011;23,2;1,99;4,38;-2,39
06/01/2011;4;0;0;6;1;1;2011;22,9;6,46;4,39;2,07
07/01/2011;5;0;0;7;1;1;2011;22,92;9,4;4,41;4,99
08/01/2011;6;0;0;8;1;1;2011;22,55;10,66;4,43;6,23
09/01/2011;7;0;0;9;1;1;2011;22,55;8,39;4,45;3,94
10/01/2011;1;0;0;10;1;1;2011;23,23;5,58;4,47;1,11
11/01/2011;2;0;0;11;1;1;2011;22,63;5,82;4,5;1,32
12/01/2011;3;0;0;12;1;1;2011;22,82;7,19;4,52;2,67
13/01/2011;4;0;0;13;1;1;2011;22,9;9,21;4,56;4,65
14/01/2011;5;0;0;14;1;1;2011;22,67;9,43;4,59;4,84
15/01/2011;6;0;0;15;1;1;2011;22,18;8,89;4,62;4,27
16/01/2011;7;0;0;16;1;1;2011;22,18;7,99;4,66;3,33
17/01/2011;1;0;0;17;1;1;2011;22,5;7,49;4,7;2,79
18/01/2011;2;0;0;18;1;1;2011;22,66;7,13;4,74;2,39
19/01/2011;3;0;0;19;1;1;2011;23,06;5,39;4,79;0,6
20/01/2011;4;0;0;20;1;1;2011;22,99;3,83;4,82;-0,99
21/01/2011;5;0;0;21;1;1;2011;23,09;2,19;4,87;-2,68
22/01/2011;6;0;0;22;1;1;2011;22,59;1,93;4,92;-2,99
23/01/2011;7;0;0;23;1;1;2011;22,59;2,13;4,97;-2,84
24/01/2011;1;0;0;24;1;1;2011;22,55;2,84;5,01;-2,17
25/01/2011;2;0;0;25;1;1;2011;22,29;3,43;5,06;-1,63
26/01/2011;3;0;0;26;1;1;2011;21,92;3,67;5,11;-1,44
27/01/2011;4;0;0;27;1;1;2011;22,03;3,23;5,16;-1,93
