Date;Joursem;Ferie;Vacances Scolaires;Jour;WE;Semaine;Mois;Trimestre;Saison;Annee;Reel;Normale;Delta
21/02/2013;4;0;0;21;01/01/1900;18/02/2013;2;1;WINTER 2012;2013;6,55;6,55;0
22/02/2013;5;0;0;22;01/01/1900;18/02/2013;2;1;WINTER 2012;2013;6,62;6,62;0
23/02/2013;6;0;0;23;23/02/2013;18/02/2013;2;1;WINTER 2012;2013;6,68;6,68;0
24/02/2013;7;0;0;24;23/02/2013;18/02/2013;2;1;WINTER 2012;2013;6,74;6,74;0
25/02/2013;1;0;0;25;01/01/1900;25/02/2013;2;1;WINTER 2012;2013;6,8;6,8;0
26/02/2013;2;0;0;26;01/01/1900;25/02/2013;2;1;WINTER 2012;2013;6,87;6,87;0
27/02/2013;3;0;0;27;01/01/1900;25/02/2013;2;1;WINTER 2012;2013;6,93;6,93;0
28/02/2013;4;0;0;28;01/01/1900;25/02/2013;2;1;WINTER 2012;2013;7;7;0
01/03/2013;5;0;0;1;01/01/1900;25/02/2013;3;1;WINTER 2012;2013;7,07;7,07;0
02/03/2013;6;0;0;2;02/03/2013;25/02/2013;3;1;WINTER 2012;2013;7,14;7,14;0
03/03/2013;7;0;1;3;02/03/2013;25/02/2013;3;1;WINTER 2012;2013;7,21;7,21;0
04/03/2013;1;0;1;4;01/01/1900;04/03/2013;3;1;WINTER 2012;2013;7,28;7,28;0
05/03/2013;2;0;1;5;01/01/1900;04/03/2013;3;1;WINTER 2012;2013;7,35;7,35;0
06/03/2013;3;0;1;6;01/01/1900;04/03/2013;3;1;WINTER 2012;2013;7,44;7,44;0
07/03/2013;4;0;1;7;01/01/1900;04/03/2013;3;1;WINTER 2012;2013;7,5;7,5;0
08/03/2013;5;0;1;8;01/01/1900;04/03/2013;3;1;WINTER 2012;2013;7,59;7,59;0
09/03/2013;6;0;1;9;09/03/2013;04/03/2013;3;1;WINTER 2012;2013;7,66;7,66;0
10/03/2013;7;0;1;10;09/03/2013;04/03/2013;3;1;WINTER 2012;2013;7,75;7,75;0
11/03/2013;1;0;1;11;01/01/1900;11/03/2013;3;1;WINTER 2012;2013;7,83;7,83;0
12/03/2013;2;0;1;12;01/01/1900;11/03/2013;3;1;WINTER 2012;2013;7,91;7,91;0
13/03/2013;3;0;1;13;01/01/1900;11/03/2013;3;1;WINTER 2012;2013;8;8;0
14/03/2013;4;0;1;14;01/01/1900;11/03/2013;3;1;WINTER 2012;2013;8,1;8,1;0
15/03/2013;5;0;1;15;01/01/1900;11/03/2013;3;1;WINTER 2012;2013;8,18;8,18;0
16/03/2013;6;0;1;16;16/03/2013;11/03/2013;3;1;WINTER 2012;2013;8,28;8,28;0
17/03/2013;7;0;1;17;16/03/2013;11/03/2013;3;1;WINTER 2012;2013;8,37;8,37;0
18/03/2013;1;0;0;18;01/01/1900;18/03/2013;3;1;WINTER 2012;2013;8,47;8,47;0
19/03/2013;2;0;0;19;01/01/1900;18/03/2013;3;1;WINTER 2012;2013;8,57;8,57;0
20/03/2013;3;0;0;20;01/01/1900;18/03/2013;3;1;WINTER 2012;2013;8,68;8,68;0
21/03/2013;4;0;0;21;01/01/1900;18/03/2013;3;1;WINTER 2012;2013;8,78;8,78;0
22/03/2013;5;0;0;22;01/01/1900;18/03/2013;3;1;WINTER 2012;2013;8,88;8,88;0
23/03/2013;6;0;0;23;23/03/2013;18/03/2013;3;1;WINTER 2012;2013;8,99;8,99;0
24/03/2013;7;0;0;24;23/03/2013;18/03/2013;3;1;WINTER 2012;2013;9,1;9,1;0
25/03/2013;1;0;0;25;01/01/1900;25/03/2013;3;1;WINTER 2012;2013;9,22;9,22;0
26/03/2013;2;0;0;26;01/01/1900;25/03/2013;3;1;WINTER 2012;2013;9,33;9,33;0
27/03/2013;3;0;0;27;01/01/1900;25/03/2013;3;1;WINTER 2012;2013;9,44;9,44;0
28/03/2013;4;0;0;28;01/01/1900;25/03/2013;3;1;WINTER 2012;2013;9,56;9,56;0
29/03/2013;5;0;0;29;01/01/1900;25/03/2013;3;1;WINTER 2012;2013;9,68;9,68;0
30/03/2013;6;0;0;30;30/03/2013;25/03/2013;3;1;WINTER 2012;2013;9,8;9,8;0
31/03/2013;7;0;0;31;30/03/2013;25/03/2013;3;1;WINTER 2012;2013;9,92;9,92;0
01/04/2013;1;1;0;1;01/01/1900;01/04/2013;4;2;SUMMER 2013;2013;10,05;10,05;0
02/04/2013;2;0;0;2;01/01/1900;01/04/2013;4;2;SUMMER 2013;2013;10,18;10,18;0
03/04/2013;3;0;0;3;01/01/1900;01/04/2013;4;2;SUMMER 2013;2013;10,3;10,3;0
04/04/2013;4;0;0;4;01/01/1900;01/04/2013;4;2;SUMMER 2013;2013;10,43;10,43;0
05/04/2013;5;0;0;5;01/01/1900;01/04/2013;4;2;SUMMER 2013;2013;10,56;10,56;0
06/04/2013;6;0;0;6;06/04/2013;01/04/2013;4;2;SUMMER 2013;2013;10,69;10,69;0
07/04/2013;7;0;0;7;06/04/2013;01/04/2013;4;2;SUMMER 2013;2013;10,82;10,82;0
08/04/2013;1;0;0;8;01/01/1900;08/04/2013;4;2;SUMMER 2013;2013;10,96;10,96;0
09/04/2013;2;0;0;9;01/01/1900;08/04/2013;4;2;SUMMER 2013;2013;11,09;11,09;0
10/04/2013;3;0;0;10;01/01/1900;08/04/2013;4;2;SUMMER 2013;2013;11,22;11,22;0
11/04/2013;4;0;0;11;01/01/1900;08/04/2013;4;2;SUMMER 2013;2013;11,36;11,36;0
